,000,001,010,011,100,101,110,111
81,114.0,189.0,182.0,113.0,156.0,113.0,104.0,29.0
82,107.0,193.0,188.0,107.0,163.0,109.0,98.0,35.0
83,120.0,186.0,175.0,114.0,148.0,110.0,113.0,34.0
84,102.0,204.0,172.0,117.0,154.0,104.0,118.0,29.0
85,86.0,201.0,195.0,127.0,170.0,107.0,95.0,19.0
86,95.0,191.0,186.0,137.0,160.0,100.0,105.0,26.0
87,110.0,176.0,208.0,115.0,155.0,105.0,107.0,24.0
88,101.0,174.0,187.0,112.0,164.0,107.0,128.0,27.0
89,107.0,170.0,181.0,116.0,192.0,115.0,100.0,19.0
90,113.0,164.0,180.0,117.0,181.0,126.0,97.0,22.0
91,90.0,185.0,160.0,121.0,204.0,105.0,117.0,18.0
92,105.0,184.0,145.0,122.0,212.0,99.0,109.0,24.0
93,102.0,187.0,166.0,101.0,184.0,127.0,110.0,23.0
94,120.0,180.0,186.0,103.0,166.0,134.0,90.0,21.0
95,121.0,182.0,185.0,101.0,168.0,132.0,88.0,23.0
96,105.0,198.0,170.0,116.0,195.0,105.0,94.0,17.0
97,124.0,176.0,161.0,105.0,176.0,127.0,103.0,28.0
98,99.0,191.0,186.0,90.0,164.0,120.0,115.0,35.0
99,118.0,172.0,180.0,96.0,160.0,124.0,123.0,27.0
